Brand,Average of Batter Capacity (Kwh),Average of Range_km,Segment
Abarth,37.8,248,B - Compact
Abarth,50.8,322,JB - Compact
Aiways,60,393,JC - Medium
Alfa,50.8,354,JB - Compact
Alpine,52,369,B - Compact
Audi,97,550,F - Luxury
Audi,72.5,439,JC - Medium
Audi,90.125,566,JD - Large
Audi,90.125,609,JE - Executive
BMW,77.75,428,D - Large
BMW,81.2,480,E - Executive
BMW,101.7,552,F - Luxury
BMW,64.7,426,JC - Medium
BMW,104.26666666666667,525,JE - Executive
BYD,38.800000000000004,285,B - Compact
BYD,50.1,359,C - Medium
BYD,75.46666666666667,517,D - Large
BYD,45.1,311,JB - Compact
BYD,60.5,420,JC - Medium
BYD,83.02000000000001,472,JD - Large
BYD,108.8,531,JE - Executive
Cadillac,102,531,JF - Luxury
Citroen,44,326,B - Compact
Citroen,48.55,384,C - Medium
Citroen,44,306,JB - Compact
Citroen,54.76666666666667,294,N - Passenger Van
CUPRA,71.66666666666667,466,C - Medium
CUPRA,77,528,JC - Medium
Dacia,25,224,A - Mini
Dongfeng,34.5,270,B - Compact
DS,50.8,397,JB - Compact
DS,58.3,448,JC - Medium
DS,89.36666666666667,635,JD - Large
Elaris,81,399,JD - Large
Fiat,31.37142857142857,259,B - Compact
Fiat,50.8,410,JB - Compact
Ford,69.33333333333333,474,D - Large
Ford,43.6,346,JB - Compact
Ford,69.33333333333333,483,JC - Medium
Ford,86.72,529,JD - Large
Ford,59.92,192,N - Passenger Van
Genesis,82.5,519,F - Luxury
Genesis,74,484,JC - Medium
Genesis,74,454,JD - Large
GWM,54.666666666666664,378,C - Medium
GWM,70.7,466,D - Large
Honda,61.9,413,JB - Compact
Hongqi,92.83333333333333,459,JF - Luxury
Hyundai,66,496,D - Large
Hyundai,42.5,350,JA - Mini
Hyundai,56.9,416,JB - Compact
Hyundai,75,475,JC - Medium
Hyundai,106,606,JF - Luxury
Jaguar,84.7,407,JD - Large
Jeep,50.8,385,JB - Compact
Jeep,74,500,JC - Medium
KGM,72,462,JC - Medium
Kia,66.5,515,C - Medium
Kia,66.5,488,JB - Compact
Kia,72.96000000000001,484,JC - Medium
Kia,91.4,505,JF - Luxury
Lancia,48.1,394,B - Compact
Leapmotor,36,265,A - Mini
Leapmotor,69.9,421,JD - Large
Lexus,64,436,JC - Medium
Lexus,64,405,JD - Large
Lotus,98.89999999999999,478,F - Luxury
Lotus,109,478,JF - Luxury
Lucid,98.66666666666667,713,F - Luxury
Maserati,83,438,F - Luxury
Maserati,95,432,JE - Executive
Mazda,70.5,515,D - Large
Mercedes-Benz,85,686,D - Large
Mercedes-Benz,91.23333333333333,509,E - Executive
Mercedes-Benz,114.33333333333333,627,F - Luxury
Mercedes-Benz,67.64285714285714,432,JC - Medium
Mercedes-Benz,92.39999999999999,479,JE - Executive
Mercedes-Benz,117.66666666666667,563,JF - Luxury
Mercedes-Benz,66.66666666666667,272,N - Passenger Van
MG,58.666666666666664,397,C - Medium
MG,74.4,477,G - Sports
MG,58.65,381,JB - Compact
MG,54.6,401,JC - Medium
Mini,45,348,B - Compact
Mini,45.63333333333333,341,JB - Compact
Mini,64.6,448,JC - Medium
NIO,81.75,475,E - Executive
NIO,81.75,446,F - Luxury
NIO,81.75,468,JE - Executive
NIO,81.75,430,JF - Luxury
Nissan,81,437,JC - Medium
Nissan,45,273,N - Passenger Van
Omoda,61,401,JC - Medium
Opel,47.2,377,B - Compact
Opel,50.8,405,C - Medium
Opel,47.4,355,JB - Compact
Opel,77.6,533,JC - Medium
Opel,54.76666666666667,294,N - Passenger Van
Peugeot,47.2,376,B - Compact
Peugeot,50.8,405,C - Medium
Peugeot,48.55,373,JB - Compact
Peugeot,80.96666666666667,517,JC - Medium
Peugeot,75.3,484,JD - Large
Peugeot,54.76666666666667,292,N - Passenger Van
Polestar,76,560,D - Large
Polestar,94,585,E - Executive
Polestar,107,594,JE - Executive
Porsche,93.6590909090909,523,F - Luxury
Porsche,95,521,JD - Large
Renault,44,339,B - Compact
Renault,60,466,C - Medium
Renault,46,366,JB - Compact
Renault,73.5,513,JC - Medium
Renault,45,275,N - Passenger Van
Rolls-Royce,102,531,I - Luxury
Skoda,70.91666666666667,488,JC - Medium
Skywell,74.5,472,JD - Large
Smart,57.90909090909091,393,JB - Compact
Smart,90.73333333333333,545,JD - Large
Subaru,64,416,JC - Medium
Tesla,71.375,580,D - Large
Tesla,95,617,F - Luxury
Tesla,70.16666666666667,563,JD - Large
Tesla,95,552,JF - Luxury
Toyota,64,429,JC - Medium
Toyota,56.46,311,N - Passenger Van
VinFast,87.7,460,JD - Large
Volkswagen,69.2,517,C - Medium
Volkswagen,83,604,E - Executive
Volkswagen,69.85714285714286,478,JC - Medium
Volkswagen,77.8,417,N - Passenger Van
Volvo,97.33333333333333,683,F - Luxury
Volvo,61,420,JB - Compact
Volvo,76,491,JC - Medium
Volvo,104.66666666666667,562,JF - Luxury
Voyah,100,500,JE - Executive
XPENG,82.7,527,E - Executive
XPENG,80.33333333333333,517,JD - Large
XPENG,87.33333333333333,517,JE - Executive
Zeekr,94,596,E - Executive
Zeekr,59.666666666666664,400,JB - Compact
Zeekr,86.33333333333333,546,JD - Large
