Brand,Model,Sum of Batter Capacity (Kwh),Sum of Charging Power (Kw)
Abarth,500e Convertible,37.8,67
Abarth,500e Hatchback,37.8,67
Abarth,600e Scorpionissima,50.8,79
Abarth,600e Turismo,50.8,79
Aiways,U5,60,78
Aiways,U6,60,78
Alfa,Romeo Junior Elettrica 54 kWh,50.8,85
Alfa,Romeo Junior Elettrica 54 kWh Veloce,50.8,85
Alpine,A290 Electric 180 hp,52,70
Alpine,A290 Electric 220 hp,52,70
Audi,A6 Avant e-tron,75.8,150
Audi,A6 Sportback e-tron,75.8,150
Audi,Q4 e-tron 40,59,110
Audi,Q4 e-tron 45,77,120
Audi,Q4 e-tron 45 quattro,77,120
Audi,Q4 e-tron 55 quattro,77,120
Audi,Q4 Sportback e-tron 40,59,110
Audi,Q4 Sportback e-tron 45,77,120
Audi,Q4 Sportback e-tron 45 quattro,77,120
Audi,Q4 Sportback e-tron 55 quattro,77,120
Audi,Q6 e-tron,75.8,150
Audi,Q6 e-tron Sportback,75.8,150
BMW,i4 eDrive35,67.1,95
BMW,iX1 eDrive20,64.7,94
BMW,iX1 xDrive30,64.7,94
BMW,iX2 eDrive20,64.7,94
BMW,iX2 xDrive30,64.7,94
BYD,ATTO 2,45.1,51
BYD,ATTO 3 (MY25),60.5,75
BYD,DOLPHIN 44.9 kWh Active,44.9,50
BYD,DOLPHIN 44.9 kWh Boost,44.9,50
BYD,DOLPHIN 60.4 kWh,60.5,65
BYD,DOLPHIN SURF 30 kWh Active,30,45
BYD,DOLPHIN SURF 43.2 kWh Boost,43.2,60
BYD,DOLPHIN SURF 43.2 kWh Comfort,43.2,60
BYD,SEAL 61.4 kWh RWD Comfort,61.4,75
BYD,SEAL U 71.8 kWh Comfort,71.8,72
Citroen,e-Berlingo M 50 kWh,50,80
Citroen,e-Berlingo XL 50 kWh,50,80
Citroen,e-C3,44,60
Citroen,e-C3 Aircross,44,60
Citroen,e-C4,46.3,78
Citroen,e-C4 54 kWh,50.8,78
Citroen,e-C4 X,46.3,78
Citroen,e-C4 X 54 kWh,50.8,78
Citroen,e-SpaceTourer M 50 kWh,46.3,78
Citroen,e-SpaceTourer M 75 kWh,68,79
Citroen,e-SpaceTourer XL 50 kWh,46.3,78
Citroen,e-SpaceTourer XL 75 kWh,68,79
CUPRA,Born 170 kW - 59 kWh,59,110
CUPRA,Born 170 kW - 77 kWh,77,125
CUPRA,Born VZ,79,135
CUPRA,Tavascan Endurance,77,120
CUPRA,Tavascan VZ,77,120
Dacia,Spring Electric 45,25,29
Dacia,Spring Electric 65,25,29
Dongfeng,Box 31.4 kWh,29,50
Dongfeng,Box 42.3 kWh,40,51
DS,3 E-Tense,50.8,85
DS,N°4 E-Tense,58.3,70
DS,N°8 FWD,73.7,100
Fiat,500e 3+1 24 kWh,21.3,40
Fiat,500e 3+1 42 kWh,37.3,67
Fiat,500e Cabrio 24 kWh,21.3,40
Fiat,500e Cabrio 42 kWh,37.3,67
Fiat,500e Hatchback 24 kWh,21.3,40
Fiat,500e Hatchback 42 kWh,37.3,67
Fiat,600e,50.8,79
Fiat,Grande Panda,43.8,60
Ford,Capri Extended Range AWD,79,135
Ford,Capri Extended Range RWD,77,120
Ford,Capri Standard Range RWD,52,85
Ford,e-Tourneo Courier,43.6,80
Ford,e-Tourneo Custom L1 160 kW,64,70
Ford,e-Tourneo Custom L1 210 kW,64,70
Ford,e-Tourneo Custom L2 160 kW,64,70
Ford,e-Tourneo Custom L2 210 kW,64,70
Ford,Explorer Extended Range AWD,79,135
Ford,Explorer Extended Range RWD,77,120
Ford,Explorer Standard Range RWD,52,85
Ford,Mustang Mach-E SR RWD (MY24),72.6,100
Ford,Mustang Mach-E SR RWD (MY25),72.6,100
Ford,Puma Gen-E,43.6,85
GWM,ORA 03 48 kWh,45.4,45
GWM,ORA 03 63 kWh,59.3,56
GWM,ORA 03 GT,59.3,56
GWM,ORA 07 Pro,64.3,75
GWM,ORA 07 Pure,64.3,75
Honda,e:Ny1,61.9,60
Hongqi,E-HS9 84 kWh,76.5,112
Hyundai,INSTER Long Range,46,70
Hyundai,INSTER Standard Range,39,60
Hyundai,IONIQ 5 63 kWh RWD (MY24),60,150
Hyundai,IONIQ 6 Standard Range 2WD,50,120
Hyundai,Kona Electric 48 kWh,48.4,50
Hyundai,Kona Electric 65 kWh,65.4,86
Jeep,Avenger Electric,50.8,85
Jeep,Compass Electric 74 kWh,74,90
KGM,Torres EVX,72,85
Kia,EV3 Long Range,78,105
Kia,EV3 Standard Range,55,80
Kia,EV4 Hatchback Long Range,78,105
Kia,EV4 Hatchback Standard Range,55,80
Kia,EV4 Sedan Long Range,78,105
Kia,EV4 Sedan Standard Range,55,80
Kia,EV6 Standard Range 2WD,60,150
Kia,Niro EV,64.8,70
Lancia,Ypsilon,48.1,80
Leapmotor,C10,69.9,70
Leapmotor,T03,36,30
Lexus,RZ 300e,64,100
Lexus,RZ 450e,64,100
Lexus,UX 300e,64,35
Mazda,6e 68.8 kWh,66,120
Mazda,6e Long Range 80 kWh,75,70
Mercedes-Benz,EQA 250,66.5,100
Mercedes-Benz,EQA 250+,70.5,90
Mercedes-Benz,EQA 300 4MATIC,66.5,100
Mercedes-Benz,EQA 350 4MATIC,66.5,100
Mercedes-Benz,EQB 250+,70.5,90
Mercedes-Benz,EQB 300 4MATIC,66.5,100
Mercedes-Benz,EQB 350 4MATIC,66.5,100
Mercedes-Benz,EQT 200 Long,45,50
Mercedes-Benz,EQT 200 Standard,45,50
Mercedes-Benz,EQV 250 Extra-Long,60,60
Mercedes-Benz,EQV 250 Long,60,60
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,60,60
Mercedes-Benz,eVito Tourer Long 60 kWh,60,60
MG,4 Electric 51 kWh,50.8,68
MG,4 Electric 64 kWh,61.7,116
MG,4 Electric 77 kWh,74.4,110
MG,4 Electric XPOWER,61.7,116
MG,5 Electric Long Range,57.4,60
MG,5 Electric Standard Range,46,53
MG,Cyberster GT,74.4,85
MG,Cyberster Trophy,74.4,85
MG,S5  EV 49 kWh,47.1,80
MG,S5  EV 64 kWh,62.1,90
MG,ZS EV Long Range,68.3,82
MG,ZS EV Standard Range,49,50
Mini,Aceman E,38.5,60
Mini,Aceman JCW,49.2,75
Mini,Aceman SE,49.2,75
Mini,Cooper E,36.6,60
Mini,Cooper JCW,49.2,75
Mini,Cooper SE,49.2,75
Mini,Countryman E,64.6,94
Mini,Countryman SE ALL4,64.6,94
NIO,EL6 Standard Range,73.5,110
NIO,EL7 Standard Range,73.5,110
NIO,EL8 Standard Range,73.5,110
NIO,ET5 Standard Range,73.5,110
NIO,ET5 Touring Standard Range,73.5,110
NIO,ET7 Standard Range,73.5,110
Nissan,Ariya 63kWh,63,90
Nissan,Townstar EV Passenger,45,50
Nissan,Townstar EV Passenger L2,45,50
Omoda,E5,61,60
Opel,Astra Electric,50.8,85
Opel,Astra Sports Tourer Electric,50.8,85
Opel,Combo-e Life 50 kWh,50,80
Opel,Combo-e Life XL 50 kWh,50,80
Opel,Corsa Electric 50 kWh,46.3,78
Opel,Corsa Electric 51 kWh,48.1,80
Opel,Frontera 44 kWh,44,60
Opel,Grandland 73 kWh,73,90
Opel,Mokka Electric,50.8,85
Opel,Zafira-e Life L2 50 kWh,46.3,78
Opel,Zafira-e Life L2 75 kWh,68,79
Opel,Zafira-e Life L3 50 kWh,46.3,78
Opel,Zafira-e Life L3 75 kWh,68,79
Peugeot,e-2008 50 kWh,46.3,78
Peugeot,e-2008 54 kWh,50.8,85
Peugeot,e-208 50 kWh,46.3,78
Peugeot,e-208 51 kWh,48.1,80
Peugeot,e-3008 73 kWh,73,90
Peugeot,e-3008 73 kWh Dual Motor,73,90
Peugeot,e-308,50.8,80
Peugeot,e-308 SW,50.8,80
Peugeot,e-408 58 kWh,58.3,70
Peugeot,e-5008 73 kWh,73,90
Peugeot,e-5008 73 kWh Dual Motor,73,90
Peugeot,e-Rifter M 50 kWh,50,80
Peugeot,e-Rifter XL 50 kWh,50,80
Peugeot,e-Traveller L2 50 kWh,46.3,78
Peugeot,e-Traveller L2 75 kWh,68,79
Peugeot,e-Traveller L3 50 kWh,46.3,78
Peugeot,e-Traveller L3 75 kWh,68,79
Polestar,2 Long Range Dual Motor (MY26),79,125
Polestar,2 Long Range Performance (MY26),79,125
Polestar,2 Long Range Single Motor (MY26),79,125
Polestar,2 Standard Range Single Motor (MY26),67,110
Renault,4 E-Tech 40kWh 120hp,40,55
Renault,4 E-Tech 52kWh 150hp,52,70
Renault,5 E-Tech 40kWh 120hp,40,55
Renault,5 E-Tech 40kWh 95hp,40,0
Renault,5 E-Tech 52kWh 150hp,52,70
Renault,Kangoo E-Tech Electric,45,50
Renault,Kangoo Grand E-Tech Electric,45,50
Renault,Megane E-Tech EV60 130hp (TU2025),60,88
Renault,Megane E-Tech EV60 220hp (TU2025),60,88
Renault,Scenic E-Tech EV60 170hp,60,75
Skoda,Elroq 50,52,90
Skoda,Elroq 60,59,110
Skoda,Elroq 85,77,120
Skoda,Elroq RS,79,135
Skoda,Enyaq 60,59,110
Skoda,Enyaq 85,77,120
Skoda,Enyaq 85x,77,120
Skoda,Enyaq Coupe 60,59,110
Skoda,Enyaq Coupe 85,77,120
Skoda,Enyaq Coupe 85x,77,120
Skoda,Enyaq Coupe RS,79,135
Skoda,Enyaq RS,79,135
Skywell,BE11 Standard Range,68,50
Smart,#1 Brabus,62,100
Smart,#1 Premium,62,100
Smart,#1 Pro,47,65
Smart,#1 Pro+,62,100
Smart,#1 Pulse,62,100
Smart,#1 Pure,47,65
Smart,#1 Pure+,62,100
Smart,#3 Brabus,62,100
Smart,#3 Premium,62,110
Smart,#3 Pro,47,65
Smart,#3 Pro+,62,110
Smart,#5 Pro,74.4,110
Subaru,Solterra AWD,64,100
Tesla,Model 3 Long Range AWD (Highland),75,124
Tesla,Model 3 Long Range RWD (Highland),75,124
Tesla,Model 3 Performance (Highland),75,124
Tesla,Model 3 RWD (Highland CATL LFP64),60.5,110
Tesla,Model Y Long Range AWD (Juniper),75,124
Tesla,Model Y Long Range RWD (Juniper),75,124
Tesla,Model Y RWD (Juniper),60.5,110
Toyota,bZ4X AWD,64,100
Toyota,bZ4X FWD,64,100
Toyota,Proace City Verso Electric L1 50 kWh,50,80
Toyota,Proace City Verso Electric L2 50 kWh,50,80
Toyota,PROACE Verso L 75 kWh,68,79
Toyota,PROACE Verso M 50 kWh,46.3,78
Toyota,PROACE Verso M 75 kWh,68,79
Volkswagen,ID. Buzz NWB GTX,79,135
Volkswagen,ID. Buzz NWB Pro,79,135
Volkswagen,ID. Buzz NWB Pure,59,110
Volkswagen,ID.3 GTX,79,135
Volkswagen,ID.3 GTX Performance,79,135
Volkswagen,ID.3 Pro,59,110
Volkswagen,ID.3 Pro S,77,120
Volkswagen,ID.3 Pure,52,90
Volkswagen,ID.4 GTX,77,120
Volkswagen,ID.4 Pro,77,120
Volkswagen,ID.4 Pro 4MOTION,77,120
Volkswagen,ID.4 Pure,52,87
Volkswagen,ID.5 GTX,77,120
Volkswagen,ID.5 Pro,77,120
Volkswagen,ID.5 Pure,52,87
Volkswagen,ID.7 Pro,77,125
Volkswagen,ID.7 Tourer Pro,77,125
Volvo,EC40 Single Motor (MY26),67,110
Volvo,EC40 Single Motor ER (MY26),79,125
Volvo,EC40 Twin Motor (MY26),79,125
Volvo,EC40 Twin Motor Performance (MY26),79,125
Volvo,EX30 Cross Country (MY26),65,114
Volvo,EX30 Single Motor (MY24-26),49,80
Volvo,EX30 Single Motor ER (MY24-26),65,113
Volvo,EX30 Twin Motor Performance (MY24-26),65,113
Volvo,EX40 Single Motor (MY26),67,110
Volvo,EX40 Single Motor ER (MY26),79,125
Volvo,EX40 Twin Motor (MY26),79,125
Volvo,EX40 Twin Motor Performance (MY26),79,125
XPENG,G6 RWD Standard Range,66,140
Zeekr,X Core RWD (MY25),49,70
Zeekr,X Long Range RWD (MY25),65,114
Zeekr,X Privilege AWD (MY25),65,114
