Brand,Count of Model
Mercedes-Benz,42
Audi,28
Porsche,26
Volkswagen,23
Ford,22
BMW,20
Peugeot,19
Volvo,18
BYD,17
Smart,17
Kia,16
Hyundai,14
Opel,14
Citroen,12
MG,12
NIO,12
Skoda,12
Renault,11
Tesla,11
Polestar,9
XPENG,9
Zeekr,9
Fiat,8
Mini,8
Toyota,7
GWM,6
Lotus,6
Nissan,6
CUPRA,5
DS,5
Genesis,5
Abarth,4
Hongqi,3
Lexus,3
Lucid,3
Maserati,3
Aiways,2
Alfa,2
Alpine,2
Dacia,2
Dongfeng,2
Jeep,2
Leapmotor,2
Mazda,2
Skywell,2
VinFast,2
Cadillac,1
Elaris,1
Honda,1
Jaguar,1
KGM,1
Lancia,1
Omoda,1
Rolls-Royce,1
Subaru,1
Voyah,1
